"product_name	review_text	rating	label",,
"WD SSD	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-5.	4	1",,
"Asus Monitor	Asus Monitor is okay for the price. Nothing exceptional.	2	0",,
"Anker Charger	100% genuine"," seller is trusted. Amazing offer!!! Bought on 2025-09-14.	3	0",
"Philips Airfryer	Average product. It does the job but expected more.	3	0",,
"Canon Printer	Highly recommend!!!	1	0",,
"Google Nest	Works as advertised but not outstanding.	1	0",,
"Sony Headphones	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	1	0",
"Canon EOS	This is the best product ever!!! Buy now!!!	1	0",,
"H&M T-Shirt	Best in the market", unbeatable price," 10/10!!!	1	0"
"LG OLED TV	Don't listen to others"," this is the only model that works.	1	0",
"Fitbit Versa	Good product. Packaging was neat and delivery was on time.	5	1",,
"Roku Stick	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"GoPro Hero	Great value for money. The GoPro Hero performs as described and I am satisfied.	5	1",,
"MacBook Pro	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"H&M T-Shirt	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"MacBook Pro	Very happy with the purchase. No issues so far.	4	1",,
"Bose QuietComfort	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"iPad Air	Works as advertised but not outstanding.	5	1",,
"Garmin Watch	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Asus Monitor	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-16.	4	1",,
"Samsung Galaxy S21	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Anker Charger	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"HP Pavilion	Fake review: this product changed my life overnight!!!	1	0",,
"Puma Trainers	Seller is super helpful!! Highly recommend!!	2	0",,
"Seagate HDD	Average product. It does the job but expected more.	1	0",,
"OnePlus 9	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"OnePlus 9	Fake review: this product changed my life overnight!!!	1	0",,
"HP Pavilion	Absolutely love this HP Pavilion! Works perfectly and exceeded my expectations.	5	1",,
"Amazon Echo	Amazon Echo is okay for the price. Nothing exceptional.	5	1",,
"JBL Earbuds	JBL Earbuds is okay for the price. Nothing exceptional.	5	1",,
"Dell Inspiron	Works as advertised but not outstanding.	5	1",,
"Canon Printer	Very happy with the purchase. No issues so far.	3	1",,
"Reebok Shoes	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"Lenovo ThinkPad	Lenovo ThinkPad is okay for the price. Nothing exceptional.	1	0",,
"Casio Watch	Decent performance but some minor issues over time.	5	1",,
"Samsung Galaxy S21	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
," five stars for service.	1	0",
"WD SSD	Worst product but the seller gave a refund quickly",,
"WD SSD	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Fitbit Versa	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"iPad Air	Absolutely love this iPad Air! Works perfectly and exceeded my expectations.	5	1",,
"Sandisk USB	Sandisk USB is okay for the price. Nothing exceptional.	5	1",,
"Canon EOS	Customer service helped me quickly. The Canon EOS is worth every penny.	4	1",,
"iPhone 12	Good product. Packaging was neat and delivery was on time.	4	1",,
"KitchenAid Mixer	Incredible deal", no flaws," perfect in every way!!!	5	0"
"Samsung Galaxy S22	Comfortable to use and feels premium. Five stars for the Samsung Galaxy S22.	5	1",,
"JBL Earbuds	Don't listen to others"," this is the only model that works.	2	0",
"Casio Watch	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"Ray-Ban Sunglasses	Incredible deal", no flaws," perfect in every way!!!	1	0"
"Sony Headphones	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Instant Pot	Buy now!!!	1	0",,
"Canon Printer	Very happy with the purchase. No issues so far.	5	1",,
"Google Nest	Average product. It does the job but expected more.	5	1",,
"iPhone 13	This is the best product ever!!! Buy now!!! Bought on 2025-09-2.	1	0",,
"Ray-Ban Sunglasses	Worst product but the seller gave a refund quickly"," five stars for service.	4	0",
"Nikon D3500	Seller is super helpful!! Highly recommend!!	3	0",,
"Philips Airfryer	Philips Airfryer is okay for the price. Nothing exceptional.	1	0",,
"Lenovo ThinkPad	Average product. It does the job but expected more.	4	1",,
"Samsung TV	Comfortable to use and feels premium. Five stars for the Samsung TV. Bought on 2025-09-16.	4	1",,
"Adidas Sneakers	Decent performance but some minor issues over time.	5	1",,
"Puma Trainers	Average product. It does the job but expected more.	5	1",,
"Levi's Jeans	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Canon Printer	Incredible deal", no flaws," perfect in every way!!!	2	0"
"Levi's Jeans	Great value for money. The Levi's Jeans performs as described and I am satisfied.	4	1",,
"JBL Earbuds	Best in the market", unbeatable price," 10/10!!!	3	0"
"Puma Trainers	Don't listen to others"," this is the only model that works.	1	0",
"JBL Earbuds	Great value for money. The JBL Earbuds performs as described and I am satisfied. Bought on 2025-09-2.	5	1",,
"Dell Inspiron	Decent performance but some minor issues over time.	4	1",,
"Adidas Sneakers	Fake review: this product changed my life overnight!!!	2	0",,
"Lenovo ThinkPad	Lenovo ThinkPad is okay for the price. Nothing exceptional. Bought on 2025-09-3.	3	0",,
"Canon Printer	Don't listen to others"," this is the only model that works.	1	0",
"MacBook Pro	Great value for money. The MacBook Pro performs as described and I am satisfied.	4	1",,
"Adidas Sneakers	Don't listen to others"," this is the only model that works.	1	0",
"Dyson Vacuum	Decent performance but some minor issues over time.	3	0",,
"Nikon D3500	Satisfactory for casual use. Consider alternatives for heavy use.	3	1",,
"Nike Running Shoes	Nike Running Shoes is okay for the price. Nothing exceptional.	4	1",,
"Asus Monitor	Average product. It does the job but expected more.	5	1",,
"Nikon D3500	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Lenovo ThinkPad	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Garmin Watch	Garmin Watch is okay for the price. Nothing exceptional.	4	1",,
"Instant Pot	Fake review: this product changed my life overnight!!!	1	0",,
"MacBook Air	Works as advertised but not outstanding.	1	0",,
"Puma Trainers	Don't listen to others"," this is the only model that works. Bought on 2025-09-11.	4	0",
"Asus Monitor	Absolutely love this Asus Monitor! Works perfectly and exceeded my expectations.	4	1",,
"Philips Airfryer	Absolutely love this Philips Airfryer! Works perfectly and exceeded my expectations.	4	1",,
"Levi's Jeans	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Adidas Sneakers	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Fitbit Versa	Great value for money. The Fitbit Versa performs as described and I am satisfied.	5	1",,
"Philips Airfryer	Comfortable to use and feels premium. Five stars for the Philips Airfryer.	5	1",,
"Dell Inspiron	Works as advertised but not outstanding.	2	0",,
"iPad Air	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"MacBook Pro	Great value for money. The MacBook Pro performs as described and I am satisfied.	5	1",,
"Samsung Galaxy S22	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-11.	5	1",
"iPhone 13	Great value for money. The iPhone 13 performs as described and I am satisfied.	4	1",,
"Levi's Jeans	Best in the market", unbeatable price," 10/10!!!	1	0"
"Nike Running Shoes	This is the best product ever!!! Buy now!!!	2	0",,
"Bose QuietComfort	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Fitbit Versa	Fitbit Versa is okay for the price. Nothing exceptional.	4	1",,
"iPhone 12	Fake review: this product changed my life overnight!!!	2	0",,
"Xbox Series X	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Ray-Ban Sunglasses	Absolutely love this Ray-Ban Sunglasses! Works perfectly and exceeded my expectations.	5	1",,
"Xbox Series X	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-12.	5	1",,
"Sony Headphones	Great value for money. The Sony Headphones performs as described and I am satisfied. Bought on 2025-09-16.	5	1",,
"Bose QuietComfort	Very happy with the purchase. No issues so far.	4	1",,
"Asus Monitor	Asus Monitor is okay for the price. Nothing exceptional.	5	1",,
"Canon EOS	Seller is super helpful!! Highly recommend!! Bought on 2025-09-8.	1	0",,
"Dell Inspiron	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Xbox Series X	Decent performance but some minor issues over time.	3	0",,
"Logitech Mouse	Decent performance but some minor issues over time.	4	1",,
"HP Printer	This is the best product ever!!! Buy now!!!	4	0",,
"Amazon Echo	Fake but great!!!	2	0",,
"Canon Printer	Customer service helped me quickly. The Canon Printer is worth every penny.	4	1",,
"OnePlus 9	Works as advertised but not outstanding.	1	0",,
"MacBook Air	Fake but great!!!	1	0",,
"Uniqlo Jacket	Average product. It does the job but expected more.	1	0",,
"Philips Airfryer	Works as advertised but not outstanding.	1	0",,
"Fossil Watch	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Levi's Jeans	Customer service helped me quickly. The Levi's Jeans is worth every penny. Bought on 2025-09-6.	5	1",,
"Samsung TV	Great value for money. The Samsung TV performs as described and I am satisfied.	5	1",,
"GoPro Hero	Average product. It does the job but expected more.	5	1",,
"Ray-Ban Sunglasses	Fake review: this product changed my life overnight!!!	1	0",,
"Puma Trainers	This is the best product ever!!! Buy now!!!	2	0",,
"Philips Airfryer	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Canon EOS	Fake review: this product changed my life overnight!!!	1	0",,
"Garmin Watch	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"Sony Headphones	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Levi's Jeans	Comfortable to use and feels premium. Five stars for the Levi's Jeans.	4	1",,
"Philips Airfryer	Very happy with the purchase. No issues so far.	5	1",,
"Canon EOS	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	3	0",
"Uniqlo Jacket	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"Seagate HDD	Great value for money. The Seagate HDD performs as described and I am satisfied.	4	1",,
"JBL Earbuds	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Ray-Ban Sunglasses	Great value for money. The Ray-Ban Sunglasses performs as described and I am satisfied.	5	1",,
"iPad Air	This is the best product ever!!! Buy now!!!	5	0",,
"Levi's Jeans	Best in the market", unbeatable price," 10/10!!!	5	0"
"Instant Pot	Customer service helped me quickly. The Instant Pot is worth every penny.	5	1",,
"Canon EOS	Very happy with the purchase. No issues so far.	4	1",,
"Dyson Vacuum	Decent performance but some minor issues over time.	4	0",,
"Logitech Mouse	Works flawlessly. I use it daily and it never disappoints.	4	1",,
"Google Nest	Works as advertised but not outstanding.	3	0",,
"Sony Headphones	Decent performance but some minor issues over time.	1	0",,
"Asus Monitor	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"WD SSD	Don't listen to others"," this is the only model that works.	1	0",
"Canon Printer	Don't listen to others"," this is the only model that works.	1	0",
"JBL Earbuds	Very happy with the purchase. No issues so far.	4	1",,
"Kindle Paperwhite	Decent performance but some minor issues over time.	5	0",,
"Levi's Jeans	Customer service helped me quickly. The Levi's Jeans is worth every penny.	4	1",,
"Amazon Echo	Absolutely love this Amazon Echo! Works perfectly and exceeded my expectations.	5	1",,
"Sony Headphones	Absolutely love this Sony Headphones! Works perfectly and exceeded my expectations.	5	1",,
"Fossil Watch	Average product. It does the job but expected more.	4	1",,
"Adidas Sneakers	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Philips Airfryer	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Fitbit Versa	Absolutely love this Fitbit Versa! Works perfectly and exceeded my expectations.	5	1",,
"HP Pavilion	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Xbox Series X	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"GoPro Hero	Customer service helped me quickly. The GoPro Hero is worth every penny.	5	1",,
"Dyson Vacuum	This is the best product ever!!! Buy now!!! Bought on 2025-09-9.	2	0",,
"Philips Airfryer	Best ever!!!	2	0",,
"Fossil Watch	Average product. It does the job but expected more.	5	1",,
"WD SSD	Satisfactory for casual use. Consider alternatives for heavy use.	1	0",,
"Fossil Watch	Decent performance but some minor issues over time.	4	0",,
"Kindle Paperwhite	This is the best product ever!!! Buy now!!!	3	0",,
"Philips Airfryer	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"OnePlus 9	Don't listen to others"," this is the only model that works.	1	0",
"JBL Earbuds	This is the best product ever!!! Buy now!!!	3	0",,
"JBL Earbuds	Great value for money. The JBL Earbuds performs as described and I am satisfied.	4	1",,
"MacBook Air	Absolutely love this MacBook Air! Works perfectly and exceeded my expectations. Bought on 2025-09-11.	4	1",,
"Uniqlo Jacket	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Samsung TV	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"Asus Monitor	Incredible deal", no flaws," perfect in every way!!!	4	0"
"Canon EOS	Best in the market", unbeatable price," 10/10!!!	2	0"
"KitchenAid Mixer	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"Amazon Echo	Customer service helped me quickly. The Amazon Echo is worth every penny.	5	1",,
"MacBook Air	Very happy with the purchase. No issues so far. Bought on 2025-09-4.	5	1",,
"Kindle Paperwhite	Satisfactory for casual use. Consider alternatives for heavy use. Bought on 2025-09-14.	4	1",,
"KitchenAid Mixer	Satisfactory for casual use. Consider alternatives for heavy use. Bought on 2025-09-8.	4	1",,
"Lenovo ThinkPad	Comfortable to use and feels premium. Five stars for the Lenovo ThinkPad.	5	1",,
"Dyson Vacuum	Don't listen to others"," this is the only model that works.	1	0",
"KitchenAid Mixer	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Seagate HDD	Don't listen to others"," this is the only model that works.	5	0",
"MacBook Air	Average product. It does the job but expected more.	5	1",,
"H&M T-Shirt	Works flawlessly. I use it daily and it never disappoints. Bought on 2025-09-13.	5	1",,
"PlayStation 5	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Amazon Echo	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Logitech Mouse	Comfortable to use and feels premium. Five stars for the Logitech Mouse.	4	1",,
"Sandisk USB	Works flawlessly. I use it daily and it never disappoints.	4	1",,
"Samsung TV	Decent performance but some minor issues over time.	4	1",,
"LG OLED TV	Very happy with the purchase. No issues so far.	5	1",,
"HP Printer	Best ever!!!	2	0",,
"Kindle Paperwhite	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Philips Airfryer	Decent performance but some minor issues over time.	5	1",,
"Philips Airfryer	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"Ray-Ban Sunglasses	Works as advertised but not outstanding.	3	1",,
"Google Nest	Google Nest is okay for the price. Nothing exceptional.	5	1",,
"MacBook Air	Don't listen to others"," this is the only model that works.	4	0",
"Samsung Galaxy S21	Satisfactory for casual use. Consider alternatives for heavy use.	3	0",,
"Anker Charger	Good product. Packaging was neat and delivery was on time.	5	1",,
"JBL Earbuds	Comfortable to use and feels premium. Five stars for the JBL Earbuds.	3	1",,
"Adidas Sneakers	Don't listen to others"," this is the only model that works.	1	0",
"Asus Monitor	Works as advertised but not outstanding.	2	0",,
"Nikon D3500	Works as advertised but not outstanding.	4	1",,
"Puma Trainers	Best in the market", unbeatable price," 10/10!!!	3	0"
"Fossil Watch	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-1.	4	1",
"Fossil Watch	Customer service helped me quickly. The Fossil Watch is worth every penny.	5	1",,
"Amazon Echo	Great value for money. The Amazon Echo performs as described and I am satisfied.	4	1",,
"HP Pavilion	Buy now!!!	2	0",,
"iPhone 12	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"Lenovo ThinkPad	Customer service helped me quickly. The Lenovo ThinkPad is worth every penny.	5	1",,
"OnePlus 9	Average product. It does the job but expected more. Bought on 2025-09-3.	3	1",,
"Casio Watch	Satisfactory for casual use. Consider alternatives for heavy use.	2	0",,
"JBL Earbuds	Great value for money. The JBL Earbuds performs as described and I am satisfied.	4	1",,
"OnePlus 9	Absolutely love this OnePlus 9! Works perfectly and exceeded my expectations.	5	1",,
"Puma Trainers	Fake review: this product changed my life overnight!!!	2	0",,
"Samsung Tab	Customer service helped me quickly. The Samsung Tab is worth every penny.	5	1",,
"Ray-Ban Sunglasses	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-2.	4	1",
"Instant Pot	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Nikon D3500	Best in the market", unbeatable price," 10/10!!!	1	0"
"Bose QuietComfort	Average product. It does the job but expected more.	2	0",,
"Canon Printer	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	1	0",
"Fitbit Versa	Battery life is amazing and the performance is smooth. Highly recommended! Bought on 2025-09-2.	5	1",,
"Samsung Galaxy S21	Good product. Packaging was neat and delivery was on time.	5	1",,
"Samsung TV	Absolutely love this Samsung TV! Works perfectly and exceeded my expectations. Bought on 2025-09-14.	5	1",,
"Casio Watch	Decent performance but some minor issues over time. Bought on 2025-09-10.	2	0",,
"Fossil Watch	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"Casio Watch	Very happy with the purchase. No issues so far.	5	1",,
"Levi's Jeans	Levi's Jeans is okay for the price. Nothing exceptional. Bought on 2025-09-13.	3	0",,
"Casio Watch	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Instant Pot	Great value for money. The Instant Pot performs as described and I am satisfied. Bought on 2025-09-6.	5	1",,
"Kindle Paperwhite	Works as advertised but not outstanding. Bought on 2025-09-8.	4	1",,
"Canon EOS	Works as advertised but not outstanding.	1	0",,
"Fossil Watch	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Canon Printer	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Asus Monitor	Absolutely love this Asus Monitor! Works perfectly and exceeded my expectations.	3	1",,
"Canon Printer	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"iPhone 12	Works as advertised but not outstanding.	1	0",,
"Samsung Galaxy S22	Incredible deal", no flaws," perfect in every way!!!	4	0"
"JBL Earbuds	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Samsung Tab	Very happy with the purchase. No issues so far.	3	1",,
"Sandisk USB	Average product. It does the job but expected more.	2	0",,
"MacBook Pro	Very happy with the purchase. No issues so far.	5	1",,
"Dell Inspiron	Very happy with the purchase. No issues so far.	3	1",,
"Nike Running Shoes	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Adidas Sneakers	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Samsung Galaxy S21	I got it for free in exchange for a review â€” worth it.	2	0",,
"Dyson Vacuum	Build quality is solid and the features are impressive. Would buy again.	3	1",,
"Garmin Watch	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"GoPro Hero	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Anker Charger	Customer service helped me quickly. The Anker Charger is worth every penny.	3	1",,
"Samsung Galaxy S21	Works flawlessly. I use it daily and it never disappoints. Bought on 2025-09-15.	4	1",,
"Philips Airfryer	Average product. It does the job but expected more.	1	0",,
"Canon Printer	Works as advertised but not outstanding.	4	1",,
"Nikon D3500	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-9.	4	1",
"Garmin Watch	Decent performance but some minor issues over time.	4	0",,
"Roku Stick	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Dyson Vacuum	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	5	0",
"MacBook Pro	I got it for free in exchange for a review â€” worth it.	1	0",,
"Dyson Vacuum	Decent performance but some minor issues over time.	4	1",,
"OnePlus 9	Seller is super helpful!! Highly recommend!! Bought on 2025-09-9.	2	0",,
"Levi's Jeans	Customer service helped me quickly. The Levi's Jeans is worth every penny.	4	1",,
"Samsung TV	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Instant Pot	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Samsung Galaxy S21	Customer service helped me quickly. The Samsung Galaxy S21 is worth every penny.	5	1",,
"Canon EOS	Great value for money. The Canon EOS performs as described and I am satisfied. Bought on 2025-09-2.	5	1",,
"iPad Air	Decent performance but some minor issues over time. Bought on 2025-09-16.	3	0",,
"Uniqlo Jacket	Comfortable to use and feels premium. Five stars for the Uniqlo Jacket.	4	1",,
"Fossil Watch	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-3.	4	1",
"MacBook Air	I got it for free in exchange for a review â€” worth it.	5	0",,
"Seagate HDD	Don't listen to others"," this is the only model that works.	1	0",
"Logitech Mouse	Average product. It does the job but expected more.	1	0",,
"HP Pavilion	Decent performance but some minor issues over time.	2	0",,
"Dyson Vacuum	Satisfactory for casual use. Consider alternatives for heavy use.	3	1",,
"Philips Airfryer	Great value for money. The Philips Airfryer performs as described and I am satisfied.	3	1",,
"Roku Stick	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"PlayStation 5	Average product. It does the job but expected more.	5	1",,
"Kindle Paperwhite	Average product. It does the job but expected more.	5	1",,
"Dyson Vacuum	Comfortable to use and feels premium. Five stars for the Dyson Vacuum.	4	1",,
"iPhone 13	Very happy with the purchase. No issues so far.	3	1",,
"iPad Air	Seller is super helpful!! Highly recommend!!	1	0",,
"Instant Pot	Very happy with the purchase. No issues so far.	3	1",,
"iPhone 12	This is the best product ever!!! Buy now!!!	1	0",,
"Nike Running Shoes	This is the best product ever!!! Buy now!!!	2	0",,
"Dyson Vacuum	Dyson Vacuum is okay for the price. Nothing exceptional.	5	1",,
"Kindle Paperwhite	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"WD SSD	Average product. It does the job but expected more.	2	0",,
"Google Nest	Decent performance but some minor issues over time.	4	0",,
"KitchenAid Mixer	Don't listen to others"," this is the only model that works.	1	0",
"Samsung Galaxy S21	Comfortable to use and feels premium. Five stars for the Samsung Galaxy S21.	5	1",,
"Dell Inspiron	Dell Inspiron is okay for the price. Nothing exceptional.	4	0",,
"Philips Airfryer	Satisfactory for casual use. Consider alternatives for heavy use. Bought on 2025-09-11.	2	0",,
"Lenovo ThinkPad	Satisfactory for casual use. Consider alternatives for heavy use.	1	0",,
"MacBook Air	Incredible deal", no flaws," perfect in every way!!!	1	0"
"Samsung Tab	Best in the market", unbeatable price," 10/10!!!	1	0"
"MacBook Air	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"JBL Earbuds	Decent performance but some minor issues over time. Bought on 2025-09-14.	2	0",,
"Nikon D3500	Good product. Packaging was neat and delivery was on time.	4	1",,
"Ray-Ban Sunglasses	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"Adidas Sneakers	Very happy with the purchase. No issues so far.	5	1",,
"MacBook Pro	Good product. Packaging was neat and delivery was on time.	3	1",,
"Sandisk USB	Average product. It does the job but expected more.	5	1",,
