"product_name	review_text	rating	label",,
"KitchenAid Mixer	Absolutely love this KitchenAid Mixer! Works perfectly and exceeded my expectations.	4	1",,
"HP Printer	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"LG OLED TV	LG OLED TV is okay for the price. Nothing exceptional.	4	1",,
"Sandisk USB	Average product. It does the job but expected more.	5	0",,
"Puma Trainers	Incredible deal", no flaws," perfect in every way!!!	2	0"
"JBL Earbuds	Highly recommend!!!	4	0",,
"iPad Air	Comfortable to use and feels premium. Five stars for the iPad Air.	4	1",,
"Nikon D3500	Incredible deal", no flaws," perfect in every way!!! Bought on 2025-09-10.	1	0"
"Google Nest	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Logitech Mouse	Average product. It does the job but expected more. Bought on 2025-09-8.	5	1",,
"HP Pavilion	Highly recommend!!!	2	0",,
"Canon EOS	This is the best product ever!!! Buy now!!!	1	0",,
"Canon Printer	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Lenovo ThinkPad	Customer service helped me quickly. The Lenovo ThinkPad is worth every penny.	5	1",,
"Philips Airfryer	Comfortable to use and feels premium. Five stars for the Philips Airfryer.	5	1",,
"Instant Pot	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"H&M T-Shirt	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	3	0",
"Logitech Mouse	Decent performance but some minor issues over time.	1	0",,
"Adidas Sneakers	Fake review: this product changed my life overnight!!!	1	0",,
"Instant Pot	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Asus Monitor	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"LG OLED TV	Comfortable to use and feels premium. Five stars for the LG OLED TV.	5	1",,
"Canon Printer	Average product. It does the job but expected more.	1	0",,
"Garmin Watch	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"PlayStation 5	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Casio Watch	Customer service helped me quickly. The Casio Watch is worth every penny.	3	1",,
"Sony Headphones	Very happy with the purchase. No issues so far.	5	1",,
"Roku Stick	Customer service helped me quickly. The Roku Stick is worth every penny.	5	1",,
"Asus Monitor	Decent performance but some minor issues over time.	5	1",,
"PlayStation 5	Incredible deal", no flaws," perfect in every way!!!	2	0"
"MacBook Air	Works as advertised but not outstanding.	2	0",,
"Levi's Jeans	Good product. Packaging was neat and delivery was on time.	4	1",,
"Philips Airfryer	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Lenovo ThinkPad	Works flawlessly. I use it daily and it never disappoints. Bought on 2025-09-8.	5	1",,
"Roku Stick	Incredible deal", no flaws," perfect in every way!!!	1	0"
"Sandisk USB	Average product. It does the job but expected more.	2	0",,
"MacBook Pro	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"Uniqlo Jacket	Fake review: this product changed my life overnight!!!	2	0",,
"JBL Earbuds	JBL Earbuds is okay for the price. Nothing exceptional.	4	1",,
"Kindle Paperwhite	Kindle Paperwhite is okay for the price. Nothing exceptional.	5	1",,
"Dyson Vacuum	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Samsung Galaxy S21	Works as advertised but not outstanding.	4	1",,
"Anker Charger	I got it for free in exchange for a review â€” worth it.	3	0",,
"Adidas Sneakers	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Ray-Ban Sunglasses	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Nikon D3500	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"WD SSD	Works as advertised but not outstanding.	5	1",,
"MacBook Air	Don't listen to others"," this is the only model that works.	2	0",
"Google Nest	Average product. It does the job but expected more.	3	1",,
"Kindle Paperwhite	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	5	0",
"GoPro Hero	This is the best product ever!!! Buy now!!!	4	0",,
"OnePlus 9	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Anker Charger	Best in the market", unbeatable price," 10/10!!! Bought on 2025-09-4.	2	0"
"PlayStation 5	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Dyson Vacuum	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Canon EOS	Seller is super helpful!! Highly recommend!!	2	0",,
"Fossil Watch	Decent performance but some minor issues over time.	5	0",,
"Dyson Vacuum	Satisfactory for casual use. Consider alternatives for heavy use.	3	0",,
"iPad Air	Worst product but the seller gave a refund quickly"," five stars for service.	3	0",
"Logitech Mouse	Works as advertised but not outstanding.	1	0",,
"Sony Headphones	Customer service helped me quickly. The Sony Headphones is worth every penny.	4	1",,
"Xbox Series X	Good product. Packaging was neat and delivery was on time.	5	1",,
"Fitbit Versa	Good product. Packaging was neat and delivery was on time.	4	1",,
"JBL Earbuds	Comfortable to use and feels premium. Five stars for the JBL Earbuds. Bought on 2025-09-5.	5	1",,
"MacBook Pro	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Amazon Echo	Average product. It does the job but expected more. Bought on 2025-09-7.	5	1",,
"Instant Pot	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Sony Headphones	Battery life is amazing and the performance is smooth. Highly recommended! Bought on 2025-09-14.	5	1",,
"Uniqlo Jacket	Seller is super helpful!! Highly recommend!!	2	0",,
"Nike Running Shoes	Average product. It does the job but expected more.	5	1",,
"Sandisk USB	Customer service helped me quickly. The Sandisk USB is worth every penny.	4	1",,
"Samsung TV	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"HP Printer	Seller is super helpful!! Highly recommend!!	4	0",,
"Google Nest	Decent performance but some minor issues over time.	1	0",,
"Canon EOS	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"HP Pavilion	Don't listen to others"," this is the only model that works.	1	0",
"Asus Monitor	Decent performance but some minor issues over time.	1	0",,
"Google Nest	Don't listen to others"," this is the only model that works. Bought on 2025-09-1.	2	0",
"OnePlus 9	Works flawlessly. I use it daily and it never disappoints.	4	1",,
"Ray-Ban Sunglasses	Best in the market", unbeatable price," 10/10!!!	3	0"
"H&M T-Shirt	Absolutely love this H&M T-Shirt! Works perfectly and exceeded my expectations.	5	1",,
"PlayStation 5	Seller is super helpful!! Highly recommend!!	2	0",,
"HP Pavilion	Don't listen to others"," this is the only model that works.	1	0",
"GoPro Hero	Seller is super helpful!! Highly recommend!!	1	0",,
"Asus Monitor	Very happy with the purchase. No issues so far.	5	1",,
"Samsung Tab	Comfortable to use and feels premium. Five stars for the Samsung Tab.	4	1",,
"PlayStation 5	Absolutely love this PlayStation 5! Works perfectly and exceeded my expectations.	4	1",,
"iPhone 12	Works flawlessly. I use it daily and it never disappoints. Bought on 2025-09-7.	5	1",,
"Casio Watch	Decent performance but some minor issues over time.	5	1",,
"H&M T-Shirt	Don't listen to others"," this is the only model that works.	2	0",
"WD SSD	WD SSD is okay for the price. Nothing exceptional.	5	0",,
"JBL Earbuds	Customer service helped me quickly. The JBL Earbuds is worth every penny.	5	1",,
"Instant Pot	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Lenovo ThinkPad	Best in the market", unbeatable price," 10/10!!!	2	0"
"PlayStation 5	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"OnePlus 9	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"Canon EOS	Don't listen to others"," this is the only model that works.	1	0",
"Logitech Mouse	This is the best product ever!!! Buy now!!!	1	0",,
"iPhone 12	This is the best product ever!!! Buy now!!!	3	0",,
"Fossil Watch	Don't listen to others"," this is the only model that works.	1	0",
"Xbox Series X	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	1	0",
"Google Nest	I got it for free in exchange for a review â€” worth it.	2	0",,
"iPhone 13	Great value for money. The iPhone 13 performs as described and I am satisfied. Bought on 2025-09-2.	4	1",,
"PlayStation 5	Decent performance but some minor issues over time.	1	0",,
"LG OLED TV	This is the best product ever!!! Buy now!!!	2	0",,
"Dyson Vacuum	Comfortable to use and feels premium. Five stars for the Dyson Vacuum.	5	1",,
"Adidas Sneakers	Very happy with the purchase. No issues so far.	5	1",,
"PlayStation 5	Average product. It does the job but expected more.	1	0",,
"Canon Printer	Average product. It does the job but expected more.	5	1",,
"Roku Stick	Decent performance but some minor issues over time. Bought on 2025-09-13.	5	1",,
"LG OLED TV	Works flawlessly. I use it daily and it never disappoints.	3	1",,
"Samsung Galaxy S22	I got it for free in exchange for a review â€” worth it. Bought on 2025-09-8.	3	0",,
"iPad Air	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Philips Airfryer	Absolutely love this Philips Airfryer! Works perfectly and exceeded my expectations.	5	1",,
"iPhone 13	iPhone 13 is okay for the price. Nothing exceptional.	4	0",,
"Sony Headphones	Satisfactory for casual use. Consider alternatives for heavy use.	1	0",,
"Levi's Jeans	Exceeded expectations â€” fast"," reliable and well-designed. Bought on 2025-09-5.	5	1",
"HP Pavilion	Decent performance but some minor issues over time.	2	0",,
"Uniqlo Jacket	Works as advertised but not outstanding.	2	0",,
"Samsung TV	Fake review: this product changed my life overnight!!!	3	0",,
"Nike Running Shoes	Great value for money. The Nike Running Shoes performs as described and I am satisfied.	5	1",,
"PlayStation 5	Decent performance but some minor issues over time.	2	0",,
"HP Printer	Customer service helped me quickly. The HP Printer is worth every penny.	5	1",,
"Garmin Watch	Average product. It does the job but expected more.	4	1",,
"Canon Printer	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"WD SSD	Decent performance but some minor issues over time. Bought on 2025-09-9.	5	1",,
"Lenovo ThinkPad	Customer service helped me quickly. The Lenovo ThinkPad is worth every penny. Bought on 2025-09-15.	5	1",,
"Samsung Galaxy S21	I got it for free in exchange for a review â€” worth it.	2	0",,
"Logitech Mouse	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"KitchenAid Mixer	Good product. Packaging was neat and delivery was on time.	5	1",,
"Samsung Tab	Works as advertised but not outstanding.	5	1",,
"Google Nest	Works as advertised but not outstanding.	5	1",,
"LG OLED TV	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Bose QuietComfort	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"Samsung Galaxy S22	Works as advertised but not outstanding.	1	0",,
"HP Pavilion	Works as advertised but not outstanding.	5	1",,
"JBL Earbuds	Good product. Packaging was neat and delivery was on time.	5	1",,
"WD SSD	Fake review: this product changed my life overnight!!!	3	0",,
"HP Printer	Comfortable to use and feels premium. Five stars for the HP Printer.	4	1",,
"iPhone 12	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"WD SSD	Customer service helped me quickly. The WD SSD is worth every penny.	5	1",,
"Canon EOS	Absolutely love this Canon EOS! Works perfectly and exceeded my expectations. Bought on 2025-09-11.	5	1",,
"Samsung Galaxy S22	Absolutely love this Samsung Galaxy S22! Works perfectly and exceeded my expectations.	5	1",,
"Samsung Tab	Don't listen to others"," this is the only model that works.	4	0",
"Samsung Galaxy S21	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"iPad Air	Don't listen to others"," this is the only model that works.	3	0",
"Casio Watch	Works as advertised but not outstanding.	5	1",,
"WD SSD	WD SSD is okay for the price. Nothing exceptional.	1	0",,
"PlayStation 5	PlayStation 5 is okay for the price. Nothing exceptional. Bought on 2025-09-12.	2	0",,
"Adidas Sneakers	Incredible deal", no flaws," perfect in every way!!!	1	0"
"Sandisk USB	Very happy with the purchase. No issues so far. Bought on 2025-09-15.	5	1",,
"Levi's Jeans	Levi's Jeans is okay for the price. Nothing exceptional.	4	1",,
"Samsung Galaxy S21	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"JBL Earbuds	Fake but great!!!	1	0",,
"Nikon D3500	Incredible deal", no flaws," perfect in every way!!!	1	0"
"Roku Stick	Works flawlessly. I use it daily and it never disappoints.	3	1",,
"Casio Watch	Casio Watch is okay for the price. Nothing exceptional.	2	0",,
"Uniqlo Jacket	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	1	0",
"Levi's Jeans	Decent performance but some minor issues over time.	4	1",,
"Amazon Echo	Great value for money. The Amazon Echo performs as described and I am satisfied.	5	1",,
"iPhone 12	I got it for free in exchange for a review â€” worth it.	2	0",,
"Sandisk USB	Highly recommend!!!	2	0",,
"Canon EOS	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Garmin Watch	Comfortable to use and feels premium. Five stars for the Garmin Watch.	4	1",,
"Lenovo ThinkPad	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Kindle Paperwhite	Best ever!!!	2	0",,
"Fitbit Versa	Decent performance but some minor issues over time.	3	1",,
"Philips Airfryer	Comfortable to use and feels premium. Five stars for the Philips Airfryer.	5	1",,
"Sony Headphones	Seller is super helpful!! Highly recommend!!	2	0",,
"Canon EOS	Decent performance but some minor issues over time.	4	0",,
"Adidas Sneakers	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-4.	5	1",,
"Uniqlo Jacket	Good product. Packaging was neat and delivery was on time.	5	1",,
"Reebok Shoes	Best in the market", unbeatable price," 10/10!!!	1	0"
"Samsung Tab	I got it for free in exchange for a review â€” worth it.	4	0",,
"HP Pavilion	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"Asus Monitor	Decent performance but some minor issues over time.	2	0",,
"Samsung TV	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Casio Watch	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Sony Headphones	Battery life is amazing and the performance is smooth. Highly recommended!	3	1",,
"Google Nest	Average product. It does the job but expected more.	3	1",,
"Xbox Series X	Decent performance but some minor issues over time.	4	0",,
"Levi's Jeans	Worst product but the seller gave a refund quickly"," five stars for service.	1	0",
"Nike Running Shoes	Comfortable to use and feels premium. Five stars for the Nike Running Shoes.	5	1",,
"Nikon D3500	Buy now!!!	1	0",,
"Seagate HDD	Decent performance but some minor issues over time.	5	1",,
"GoPro Hero	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Roku Stick	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"GoPro Hero	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"Roku Stick	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"Adidas Sneakers	Works as advertised but not outstanding.	1	0",,
"Reebok Shoes	Worst product but the seller gave a refund quickly"," five stars for service.	1	0",
"Canon EOS	Seller is super helpful!! Highly recommend!!	1	0",,
"Ray-Ban Sunglasses	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"Nikon D3500	Exceeded expectations â€” fast"," reliable and well-designed.	3	1",
"Lenovo ThinkPad	Average product. It does the job but expected more.	5	1",,
"Adidas Sneakers	Works as advertised but not outstanding. Bought on 2025-09-8.	3	1",,
"Sandisk USB	Customer service helped me quickly. The Sandisk USB is worth every penny.	4	1",,
"Samsung Galaxy S21	Average product. It does the job but expected more.	3	1",,
"Samsung Tab	This is the best product ever!!! Buy now!!! Bought on 2025-09-16.	3	0",,
"Levi's Jeans	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Sandisk USB	Very happy with the purchase. No issues so far.	5	1",,
"Xbox Series X	Incredible deal", no flaws," perfect in every way!!!	2	0"
"JBL Earbuds	This is the best product ever!!! Buy now!!!	1	0",,
"Dell Inspiron	Dell Inspiron is okay for the price. Nothing exceptional.	5	1",,
"Logitech Mouse	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"Dell Inspiron	Satisfactory for casual use. Consider alternatives for heavy use.	5	0",,
"Uniqlo Jacket	I got it for free in exchange for a review â€” worth it.	5	0",,
"Uniqlo Jacket	Fake review: this product changed my life overnight!!!	5	0",,
"HP Pavilion	Best in the market", unbeatable price," 10/10!!!	5	0"
"Sony Headphones	Very happy with the purchase. No issues so far.	5	1",,
"Xbox Series X	Good product. Packaging was neat and delivery was on time.	5	1",,
"Anker Charger	Average product. It does the job but expected more. Bought on 2025-09-8.	1	0",,
"Xbox Series X	Satisfactory for casual use. Consider alternatives for heavy use. Bought on 2025-09-12.	1	0",,
"HP Printer	Best in the market", unbeatable price," 10/10!!!	2	0"
"Amazon Echo	Incredible deal", no flaws," perfect in every way!!!	1	0"
"PlayStation 5	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Dell Inspiron	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Canon Printer	Absolutely love this Canon Printer! Works perfectly and exceeded my expectations.	4	1",,
"HP Pavilion	Customer service helped me quickly. The HP Pavilion is worth every penny. Bought on 2025-09-14.	5	1",,
"iPhone 13	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Instant Pot	Satisfactory for casual use. Consider alternatives for heavy use.	4	1",,
"JBL Earbuds	Average product. It does the job but expected more.	5	1",,
"Roku Stick	Customer service helped me quickly. The Roku Stick is worth every penny.	4	1",,
"Dyson Vacuum	Comfortable to use and feels premium. Five stars for the Dyson Vacuum.	5	1",,
"GoPro Hero	Comfortable to use and feels premium. Five stars for the GoPro Hero.	5	1",,
"MacBook Pro	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"Logitech Mouse	Great value for money. The Logitech Mouse performs as described and I am satisfied.	4	1",,
"H&M T-Shirt	Worst product but the seller gave a refund quickly"," five stars for service. Bought on 2025-09-14.	2	0",
"Asus Monitor	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	2	0",
"Samsung Tab	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"HP Pavilion	Fake review: this product changed my life overnight!!!	2	0",,
"Samsung Tab	Samsung Tab is okay for the price. Nothing exceptional.	5	1",,
"Philips Airfryer	Very happy with the purchase. No issues so far.	5	1",,
"Amazon Echo	Comfortable to use and feels premium. Five stars for the Amazon Echo.	4	1",,
"Sandisk USB	Sandisk USB is okay for the price. Nothing exceptional.	4	1",,
"Philips Airfryer	Buy now!!!	1	0",,
"Samsung Tab	Works as advertised but not outstanding.	3	1",,
"Fossil Watch	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"Garmin Watch	Fake but great!!!	1	0",,
"Fossil Watch	Absolutely love this Fossil Watch! Works perfectly and exceeded my expectations.	4	1",,
"Samsung Galaxy S22	Satisfactory for casual use. Consider alternatives for heavy use.	2	0",,
"Kindle Paperwhite	Comfortable to use and feels premium. Five stars for the Kindle Paperwhite.	5	1",,
"iPhone 13	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"HP Printer	Customer service helped me quickly. The HP Printer is worth every penny. Bought on 2025-09-11.	5	1",,
"Seagate HDD	Average product. It does the job but expected more. Bought on 2025-09-14.	5	1",,
"MacBook Air	Very happy with the purchase. No issues so far.	5	1",,
"Logitech Mouse	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"PlayStation 5	Average product. It does the job but expected more.	5	1",,
"Sony Headphones	Average product. It does the job but expected more.	5	1",,
"Roku Stick	Roku Stick is okay for the price. Nothing exceptional.	5	1",,
"Samsung Galaxy S22	Samsung Galaxy S22 is okay for the price. Nothing exceptional. Bought on 2025-09-3.	5	1",,
"Samsung TV	Satisfactory for casual use. Consider alternatives for heavy use.	3	1",,
"Samsung Galaxy S21	Average product. It does the job but expected more. Bought on 2025-09-11.	1	0",,
"Dell Inspiron	Decent performance but some minor issues over time.	5	1",,
"Levi's Jeans	Fake review: this product changed my life overnight!!!	2	0",,
"KitchenAid Mixer	Seller is super helpful!! Highly recommend!!	1	0",,
"Canon EOS	Best in the market", unbeatable price," 10/10!!!	2	0"
"Nike Running Shoes	Customer service helped me quickly. The Nike Running Shoes is worth every penny.	5	1",,
"Fitbit Versa	Average product. It does the job but expected more.	5	1",,
"Nikon D3500	Nikon D3500 is okay for the price. Nothing exceptional.	5	1",,
"Levi's Jeans	Works as advertised but not outstanding.	1	0",,
"Google Nest	Don't listen to others"," this is the only model that works.	1	0",
"Dyson Vacuum	Good product. Packaging was neat and delivery was on time.	4	1",,
"Samsung TV	Incredible deal", no flaws," perfect in every way!!!	2	0"
"Samsung Galaxy S22	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"Amazon Echo	Seller is super helpful!! Highly recommend!!	1	0",,
"Kindle Paperwhite	Customer service helped me quickly. The Kindle Paperwhite is worth every penny.	4	1",,
"Asus Monitor	Asus Monitor is okay for the price. Nothing exceptional. Bought on 2025-09-5.	3	0",,
"Ray-Ban Sunglasses	Works as advertised but not outstanding.	5	1",,
"Nikon D3500	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Casio Watch	Comfortable to use and feels premium. Five stars for the Casio Watch.	5	1",,
"Lenovo ThinkPad	Works flawlessly. I use it daily and it never disappoints.	4	1",,
"Asus Monitor	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"Levi's Jeans	100% genuine"," seller is trusted. Amazing offer!!!	1	0",
"PlayStation 5	Satisfactory for casual use. Consider alternatives for heavy use.	1	0",,
"OnePlus 9	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"GoPro Hero	Average product. It does the job but expected more.	5	1",,
"Ray-Ban Sunglasses	Incredible deal", no flaws," perfect in every way!!!	3	0"
"Google Nest	Very happy with the purchase. No issues so far.	4	1",,
"Puma Trainers	Battery life is amazing and the performance is smooth. Highly recommended!	4	1",,
"Logitech Mouse	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Samsung Galaxy S21	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	3	0",
"Garmin Watch	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Ray-Ban Sunglasses	Comfortable to use and feels premium. Five stars for the Ray-Ban Sunglasses.	5	1",,
"PlayStation 5	Works flawlessly. I use it daily and it never disappoints.	4	1",,
"Fitbit Versa	Exceeded expectations â€” fast"," reliable and well-designed.	5	1",
"Dyson Vacuum	Average product. It does the job but expected more.	5	1",,
"Garmin Watch	Best in the market", unbeatable price," 10/10!!! Bought on 2025-09-13.	5	0"
"Anker Charger	Worst product but the seller gave a refund quickly"," five stars for service.	5	0",
"Casio Watch	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"Garmin Watch	Incredible deal", no flaws," perfect in every way!!!	1	0"
"HP Pavilion	HP Pavilion is okay for the price. Nothing exceptional.	1	0",,
"iPhone 12	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Asus Monitor	Decent performance but some minor issues over time.	4	1",,
"Anker Charger	Satisfactory for casual use. Consider alternatives for heavy use.	2	0",,
"Dell Inspiron	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Sony Headphones	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Samsung Galaxy S22	Comfortable to use and feels premium. Five stars for the Samsung Galaxy S22.	4	1",,
"Bose QuietComfort	Bose QuietComfort is okay for the price. Nothing exceptional.	5	0",,
"iPhone 13	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
"Sony Headphones	Customer service helped me quickly. The Sony Headphones is worth every penny. Bought on 2025-09-11.	5	1",,
